Sites,PreUrl,PostURL
SisterCitiesProgramCityofCharlottesville,https://www.charlottesville.org/about-charlottesville/sister-cities-program,https://www.charlottesville.org/about-charlottesville/sister-cities-program
ElCajonCA,https://www.cityofelcajon.us/home,https://www.cityofelcajon.us/home
FondduLacCounty,http://www.fdlsheriff.com/home,http://www.fdlsheriff.com/home
OrangeCountySanitationDistrict-CA,http://www.ocsd.com,http://www.ocsd.com
Durham-Countyof(NC)-D_gov,https://www.dconc.gov,https://www.dconc.gov
Durham-Countyof(NC)-D_com,http://www.dcovotes.com,http://www.dcovotes.com
SanJoseCA,http://sjeconomy.com/,http://sjeconomy.com/
SanJoseCA_gov,http://www.sanjoseca.gov/,http://www.sanjoseca.gov/
PaloAltoCA(EastPaloAltoWater-Districtof(CA),http://www.epasd.com,http://www.epasd.com
Amarillo-Cityof(TX),https://amw.amarillo.gov,https://amw.amarillo.gov
Amarillo-Cityof(TX)_tickets,https://www.panhandletickets.com,https://www.panhandletickets.com
MesaAZ(CostaMesa-Cityof(CA)),https://www.costamesaca.gov,https://www.costamesaca.gov
ClearwaterFL,https://www.myclearwater.com/,https://www.myclearwater.com/
ClearwaterFL_police,https://www.clearwaterpolice.org/,https://www.clearwaterpolice.org/
StCharlesParishLA_edward,https://www.edwarddufresnecommunitycenter.com,https://www.edwarddufresnecommunitycenter.com
StCharlesParishLA,https://www.scpparksandrec.com,https://www.scpparksandrec.com
ChapelHillNC,https://www.townofchapelhill.org,https://www.townofchapelhill.org
IndustryCA,https://www.industryexpocenter.com/,https://www.industryexpocenter.com/
IndustryCA_org,https://www.industryyal.org/,https://www.industryyal.org/
FortBendCountyTX,https://www.fortbendcountytx.gov/,https://www.fortbendcountytx.gov/
PeoriaAZ_sportscomplex,https://www.peoriasportscomplex.com,https://www.peoriasportscomplex.com
PeoriaAZ_visitpeoriaz,https://www.visitpeoriaaz.com,https://www.visitpeoriaaz.com
PeoriaAZ_peoriaed,https://www.peoriaed.com,https://www.peoriaed.com,https://www.peoriaed.com
TorranceCA,https://www.torranceca.gov/,https://www.torranceca.gov/
TorranceCA_arts,https://arts.torranceca.gov/,https://arts.torranceca.gov/
TorranceCA_business,https://business.torranceca.gov/,https://business.torranceca.gov/
TorranceCA_transit,https://transit.torranceca.gov/,https://transit.torranceca.gov/
FresnoCountyCA,https://www.co.fresno.ca.us,https://www.co.fresno.ca.us
MarionCountyFL,https://www.marioncountyfl.org,https://www.marioncountyfl.org
ManhattanBeachCA,https://www.citymb.info,https://www.citymb.info
BrowardCountyFL,http://www.broward.org/Pages/Welcome.aspx,http://www.broward.org/Pages/Welcome.aspx
SanDiegoCountyCA,https://www.metrojpa.org/,https://www.metrojpa.org/
